region,round,round_label,category,entity_id,canonical_name,name_jp,name_cn,rank,equal_rank,old_2_1_rank,points,old_2_1_points,primary_count,secondary_count,other_count,selection_count,ballots,primary_rate,secondary_rate,top2_rate,selection_rate,male_rate,female_rate,other_gender_rate,under20_rate,overall_male_rate,overall_female_rate,overall_other_gender_rate,equal_rank_change,source_type
cn,1,CN1,character,121,龙神,,龙神,108,108,,5.0,,0.0,,5.0,5.0,6365,0.0,,,0.0007855459544383347,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,60,云山,雲山,云山,111,111,,4.0,,0.0,,4.0,4.0,6365,0.0,,,0.0006284367635506677,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,92,朝仓理香子,朝倉 理香子,朝仓理香子,111,111,,4.0,,0.0,,4.0,4.0,6365,0.0,,,0.0006284367635506677,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,79,菊理,キクリ,菊理,111,111,,5.0,,1.0,,3.0,4.0,6365,0.25,,,0.0006284367635506677,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,83,萨丽爱尔,サリエル,萨丽爱尔,111,111,,4.0,,0.0,,4.0,4.0,6365,0.0,,,0.0006284367635506677,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,119,reisen,,Reisen,115,115,,4.0,,1.0,,2.0,3.0,6365,0.3333333333333333,,,0.0004713275726630008,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,82,依莉斯,エリス,依莉斯,115,115,,4.0,,1.0,,2.0,3.0,6365,0.3333333333333333,,,0.0004713275726630008,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,137,幽灵,,幽灵,115,115,,4.0,,1.0,,2.0,3.0,6365,0.3333333333333333,,,0.0004713275726630008,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,85,里香,里香,里香,115,115,,3.0,,0.0,,3.0,3.0,6365,0.0,,,0.0004713275726630008,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,90,小兔姬,小兎姫,小兔姬,119,119,,3.0,,1.0,,1.0,2.0,6365,0.5,,,0.00031421838177533385,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,123,石长姬,,石长姬,119,119,,2.0,,0.0,,2.0,2.0,6365,0.0,,,0.00031421838177533385,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,87,flower～战车,,Flower～战车,121,121,,2.0,,1.0,,0.0,1.0,6365,1.0,,,0.00015710919088766692,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,125,天照大御神/石凝姥命/天宇受卖命/伊豆能卖,,天照大御神 / 石凝姥命 / 天宇受卖命 / 伊豆能卖,121,121,,1.0,,0.0,,1.0,1.0,6365,0.0,,,0.00015710919088766692,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,98,奥莲姬,オレンジ,奥莲姬,121,121,,1.0,,0.0,,1.0,1.0,6365,0.0,,,0.00015710919088766692,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,81,幽玄魔眼,,幽玄魔眼,121,121,,1.0,,0.0,,1.0,1.0,6365,0.0,,,0.00015710919088766692,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,122,月夜见,,月夜见,121,121,,1.0,,0.0,,1.0,1.0,6365,0.0,,,0.00015710919088766692,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,124,木花咲耶姬,木花咲耶姫,木花咲耶姬,121,121,,1.0,,0.0,,1.0,1.0,6365,0.0,,,0.00015710919088766692,,,,,,,,0,cn_normalized_workbook
