"sample_id","source_url","thread_title","related_round","total_reply_count","floor","sample_type","parent_floor","author","posted_date","character_cn_raw","raw_text","capture_scope","metric_note","observed_at"
"tieba_5517613326_f89_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","89","main_reply","","啦啦啦之神","2018-01-16","","凉了凉了，我喜欢的少（da）女（ma）","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f90_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","90","main_reply","","🔯纯狐🔯","2018-01-16","","我一直以为神妈人气很高的","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f91_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","91","main_reply","","JX102714","2018-01-16","","都说幻想乡的姐姐没威严 这回是姐姐吊打妹妹了 紫苑上天，心疼女苑","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f92_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","92","main_reply","","三途川_绽放","2018-01-16","","可憐的天空璋","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f93_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","93","main_reply","","sky奕者无心","2018-01-16","","恋恋还是第一","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f94_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","94","main_reply","","Angle泪半海","2018-01-16","","辉。。。。辉夜大人","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f95_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","95","main_reply","","闪光的波克比","2018-01-16","","蕾米安定的高人气啊","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f96_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","96","main_reply","","死徒诺耶尔","2018-01-16","","恋世一","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f97_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","97","main_reply","","小纸弹","2018-01-16","","我，恋恋，世界第一，懂？","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f97_reply1","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","97","小纸弹","2018-01-16","","还有易者这次看起来还能往上走的样子","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f99_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","99","main_reply","","睡桥帕露西💤","2018-01-16","","稳如帕露西","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f100_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","100","main_reply","","Finect","2018-01-16","","哇.jpg 太太居然被超了","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f102_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","102","main_reply","","takopop","2018-01-16","","阿吽37！太棒了！","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f103_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","103","main_reply","","退吧💯勿扰","2018-01-16","","神奈子或许成为最不人气六面？","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f104_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","104","main_reply","","铝梦想","2018-01-16","","小伞人气好高","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f105_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","105","main_reply","","奥拉姬▫莲","2018-01-16","","来“晒”一波","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
