round,source_rank,source_record_id,raw_title_jp,raw_title_cn,canonical_track,merge_basis,mapped_character,matched_existing_repaired_mapping,mapped_by_character_theme_overlay
21,177.0,395,憑坐は夢と現の間に ~ Necro-Fantasia,凭坐处于梦与现实之间 ~ Necro-Fantasia,凭坐处于梦与现实之间,official_jp_user_repaired_exact,八云紫,True,False
21,179.0,494,Strawberry Crisis!!,Strawberry Crisis!!,Strawberry Crisis!!,official_jp_repaired_exact,,True,False
21,180.0,443,セラミックスの杖刀人,陶瓷的杖刀人,陶瓷的杖刀人,official_jp_user_repaired_exact,杖刀偶磨弓,True,False
21,181.0,348,見た事も無い悪夢の世界,前所未见的噩梦世界,前所未见的噩梦世界,official_jp_repaired_exact,,True,False
21,182.0,828,夜じゃなくてもお化けはいるから,毕竟不单夜晚有鬼怪,毕竟不单夜晚有鬼怪,official_jp_repaired_exact,,True,False
21,183.0,641,G Free,G Free,G Free,official_jp_repaired_exact,,True,False
21,184.0,110,花は幻想のままに,花如幻想一般,花如幻想一般,official_jp_repaired_exact,,True,False
21,184.0,460,いざ、倒れ逝くその時まで,"来吧,直到倒地死去的那一刻","来吧,直到倒地死去的那一刻",official_jp_repaired_exact,,True,False
21,186.0,287,空中に沈む輝針城,沉向空中的辉针城,沉向空中的辉针城,official_jp_repaired_exact,,True,False
21,187.0,138,地の色は黄色,地之色乃黄色,地之色乃黄色,official_jp_repaired_exact,,True,False
21,188.0,195,虎柄の毘沙門天,虎纹的毘沙门天,虎纹的毘沙门天,official_jp_user_repaired_exact,寅丸星,True,False
21,189.0,584,魔法使いの憂鬱,魔法使的忧郁,魔法使的忧郁,official_jp_repaired_exact,,True,False
21,190.0,333,華狭間のバトルフィールド,华狭间的战场,华狭间的战场,official_jp_user_repaired_exact,茨木华扇,True,False
21,191.0,119,人恋し神様 ~ Romantic Fall,眷爱众生之神 ~ Romantic Fall,眷爱众生之神,official_jp_user_repaired_exact,秋静叶,True,False
21,192.0,515,アリスマエステラ,Alice Maestra,Alice Maestra,official_jp_repaired_exact,,True,False
21,193.0,187,小さな小さな賢将,小小的贤将,小小的贤将,official_jp_user_repaired_exact,娜兹玲,True,False
21,194.0,601,空飛ぶ巫女の不思議な毎日,空中飞翔的巫女不可思议的每天,空中飞翔的巫女不可思议的每天,official_jp_repaired_exact,,True,False
21,195.0,283,満月の竹林,满月的竹林,满月的竹林,official_jp_user_repaired_exact,今泉影狼,True,False
21,196.0,638,車椅子の未来宇宙,轮椅上的未来宇宙,轮椅上的未来宇宙,official_jp_repaired_exact,,True,False
21,197.0,361,希望の星は青霄に昇る,希望之星直升青霄,希望之星直升青霄,official_jp_repaired_exact,,True,False
21,198.0,194,魔界地方都市エソテリア,魔界地方都市秘境,魔界地方都市秘境,official_jp_repaired_exact,,True,False
